Date,Open,High,Low,Close,index
2003-11-28,1475.45,1485.35,1473.95,1481.9,NSE/CNXMIDCAP200
2003-12-01,1492.7,1519.4,1492.7,1518.15,NSE/CNXMIDCAP200
2003-12-02,1524.5,1535.45,1512.3,1531.4,NSE/CNXMIDCAP200
2003-12-03,1544.6,1570.6,1543.3,1564.7,NSE/CNXMIDCAP200
2003-12-04,1572.95,1589.8,1562.1,1583.85,NSE/CNXMIDCAP200
2003-12-05,1592.7,1605.3,1559.25,1564.15,NSE/CNXMIDCAP200
2003-12-09,1589.05,1622.1,1589.05,1621.2,NSE/CNXMIDCAP200
2003-12-10,1625.45,1633.0,1612.2,1620.05,NSE/CNXMIDCAP200
2003-12-11,1630.9,1644.7,1611.9,1627.45,NSE/CNXMIDCAP200
2003-12-12,1637.8,1644.45,1627.45,1640.2,NSE/CNXMIDCAP200
2003-12-15,1654.0,1670.4,1654.0,1666.0,NSE/CNXMIDCAP200
2003-12-16,1666.75,1673.15,1647.75,1666.7,NSE/CNXMIDCAP200
2003-12-17,1672.1,1686.65,1671.35,1676.95,NSE/CNXMIDCAP200
2003-12-18,1685.5,1710.8,1681.65,1706.8,NSE/CNXMIDCAP200
2003-12-19,1714.05,1734.55,1714.05,1726.4,NSE/CNXMIDCAP200
2003-12-22,1733.65,1759.2,1733.65,1756.2,NSE/CNXMIDCAP200
2003-12-23,1764.2,1774.9,1740.8,1745.0,NSE/CNXMIDCAP200
2003-12-24,1751.05,1762.8,1745.25,1759.3,NSE/CNXMIDCAP200
2003-12-26,1764.4,1791.8,1764.4,1789.05,NSE/CNXMIDCAP200
2003-12-29,1796.1,1827.55,1796.1,1826.25,NSE/CNXMIDCAP200
2003-12-30,1838.95,1845.05,1788.4,1799.25,NSE/CNXMIDCAP200
2003-12-31,1803.55,1812.45,1784.1,1794.8,NSE/CNXMIDCAP200
2004-01-01,1801.65,1831.05,1801.65,1829.2,NSE/CNXMIDCAP200
2004-01-02,1838.45,1864.5,1838.45,1861.25,NSE/CNXMIDCAP200
2004-01-05,1875.4,1883.25,1842.4,1853.6,NSE/CNXMIDCAP200
2004-01-06,1856.35,1866.9,1808.6,1817.0,NSE/CNXMIDCAP200
2004-01-07,1817.2,1822.1,1771.95,1792.7,NSE/CNXMIDCAP200
2004-01-08,1809.45,1854.65,1809.45,1852.85,NSE/CNXMIDCAP200
2004-01-09,1887.5,1897.0,1850.7,1861.2,NSE/CNXMIDCAP200
2004-01-12,1862.4,1867.75,1832.45,1836.6,NSE/CNXMIDCAP200
2004-01-13,1843.05,1855.25,1820.1,1846.15,NSE/CNXMIDCAP200
2004-01-14,1857.4,1879.55,1857.4,1873.1,NSE/CNXMIDCAP200
2004-01-15,1875.1,1895.4,1844.5,1850.5,NSE/CNXMIDCAP200
2004-01-16,1853.45,1853.45,1786.5,1802.8,NSE/CNXMIDCAP200
