Date,Close,SharesTraded,Turnover,index
2010-04-20,3602.35,,,NSE/CNXLOWVOLATILITY
2010-04-21,3618.27,,,NSE/CNXLOWVOLATILITY
2010-04-22,3629.97,,,NSE/CNXLOWVOLATILITY
2010-04-23,3635.08,,,NSE/CNXLOWVOLATILITY
2010-04-26,3648.85,,,NSE/CNXLOWVOLATILITY
2010-04-27,3636.96,,,NSE/CNXLOWVOLATILITY
2010-04-28,3617.03,,,NSE/CNXLOWVOLATILITY
2010-04-29,3626.5,,,NSE/CNXLOWVOLATILITY
2010-04-30,3651.61,,,NSE/CNXLOWVOLATILITY
2010-05-03,3643.38,,,NSE/CNXLOWVOLATILITY
2010-05-04,3603.97,,,NSE/CNXLOWVOLATILITY
2010-05-05,3628.49,,,NSE/CNXLOWVOLATILITY
2010-05-06,3619.73,,,NSE/CNXLOWVOLATILITY
2010-05-07,3560.85,,,NSE/CNXLOWVOLATILITY
2010-05-10,3610.91,,,NSE/CNXLOWVOLATILITY
2010-05-11,3573.04,,,NSE/CNXLOWVOLATILITY
2010-05-12,3591.02,,,NSE/CNXLOWVOLATILITY
2010-05-13,3614.12,,,NSE/CNXLOWVOLATILITY
2010-05-14,3600.42,,,NSE/CNXLOWVOLATILITY
2010-05-17,3605.43,,,NSE/CNXLOWVOLATILITY
2010-05-18,3633.29,,,NSE/CNXLOWVOLATILITY
2010-05-19,3573.42,,,NSE/CNXLOWVOLATILITY
2010-05-20,3593.81,,,NSE/CNXLOWVOLATILITY
2010-05-21,3573.13,,,NSE/CNXLOWVOLATILITY
2010-05-24,3573.8,,,NSE/CNXLOWVOLATILITY
2010-05-25,3504.89,,,NSE/CNXLOWVOLATILITY
2010-05-26,3532.61,,,NSE/CNXLOWVOLATILITY
2010-05-27,3579.28,,,NSE/CNXLOWVOLATILITY
2010-05-28,3637.58,,,NSE/CNXLOWVOLATILITY
2010-05-31,3680.66,,,NSE/CNXLOWVOLATILITY
2010-06-01,3643.4,,,NSE/CNXLOWVOLATILITY
2010-06-02,3668.08,,,NSE/CNXLOWVOLATILITY
2010-06-03,3710.55,,,NSE/CNXLOWVOLATILITY
2010-06-04,3728.16,,,NSE/CNXLOWVOLATILITY
2010-06-07,3692.01,,,NSE/CNXLOWVOLATILITY
2010-06-08,3678.42,,,NSE/CNXLOWVOLATILITY
2010-06-09,3685.94,,,NSE/CNXLOWVOLATILITY
2010-06-10,3727.07,,,NSE/CNXLOWVOLATILITY
2010-06-11,3729.85,,,NSE/CNXLOWVOLATILITY
2010-06-14,3752.83,,,NSE/CNXLOWVOLATILITY
2010-06-15,3757.69,,,NSE/CNXLOWVOLATILITY
2010-06-16,3756.38,,,NSE/CNXLOWVOLATILITY
2010-06-17,3769.43,,,NSE/CNXLOWVOLATILITY
2010-06-18,3767.9,,,NSE/CNXLOWVOLATILITY
2010-06-21,3810.8,,,NSE/CNXLOWVOLATILITY
2010-06-22,3808.69,,,NSE/CNXLOWVOLATILITY
2010-06-23,3825.66,,,NSE/CNXLOWVOLATILITY
2010-06-24,3822.57,,,NSE/CNXLOWVOLATILITY
2010-06-25,3819.02,,,NSE/CNXLOWVOLATILITY
2010-06-28,3853.05,,,NSE/CNXLOWVOLATILITY
2010-06-29,3830.47,,,NSE/CNXLOWVOLATILITY
2010-06-30,3855.05,,,NSE/CNXLOWVOLATILITY
2010-07-01,3835.19,,,NSE/CNXLOWVOLATILITY
2010-07-02,3836.43,,,NSE/CNXLOWVOLATILITY
2010-07-05,3839.05,,,NSE/CNXLOWVOLATILITY
2010-07-06,3864.03,,,NSE/CNXLOWVOLATILITY
2010-07-07,3854.05,,,NSE/CNXLOWVOLATILITY
2010-07-08,3889.34,,,NSE/CNXLOWVOLATILITY
2010-07-09,3903.23,,,NSE/CNXLOWVOLATILITY
2010-07-12,3905.16,,,NSE/CNXLOWVOLATILITY
2010-07-13,3911.42,,,NSE/CNXLOWVOLATILITY
2010-07-14,3901.74,,,NSE/CNXLOWVOLATILITY
2010-07-15,3895.53,,,NSE/CNXLOWVOLATILITY
2010-07-16,3910.25,,,NSE/CNXLOWVOLATILITY
